Year,Liabilites,sdp(total),ng,Inflation,Real Growth,Int payments,Interest Rate,R,Primary Balance,Primary Deficit,Debt/GSDP,delta b,Fisher Dynamics
1980,88768.00,,,,,,,,474237.80,,,,
1981,21278.00,104112.00,,0.13,,1095.00,0.05,-0.08,2040.00,0.02,0.20,,
1982,24842.00,116756.00,0.12,0.08,0.04,1298.00,0.05,-0.03,2529.00,0.02,0.21,0.01,0.01
1983,28589.00,135715.00,0.16,0.08,0.08,1464.00,0.05,-0.03,3903.00,0.03,0.21,0.00,0.01
1984,33101.00,150620.00,0.11,0.08,0.03,1785.00,0.05,-0.02,5485.00,0.04,0.22,0.01,0.03
1985,39040.00,168181.00,0.12,0.08,0.04,2162.00,0.06,-0.02,4192.00,0.02,0.23,0.01,0.01
1986,44067.00,186424.00,0.11,0.07,0.04,3057.00,0.07,0.00,4780.00,0.03,0.24,0.00,0.02
1987,50492.00,212738.00,0.14,0.11,0.03,3664.00,0.07,-0.04,4256.00,0.02,0.24,0.00,0.01
1988,56611.00,253633.00,0.19,0.05,0.14,4411.00,0.08,0.02,4806.00,0.02,0.22,-0.01,0.00
1989,65655.00,292976.00,0.16,0.09,0.07,5434.00,0.08,-0.01,6629.00,0.02,0.22,0.00,0.01
1990,95654.00,343266.00,0.17,0.10,0.07,6570.00,0.07,-0.04,8150.00,0.02,0.28,0.05,0.00
1991,110046.00,394620.00,0.15,0.15,0.00,8430.00,0.08,-0.07,6660.00,0.02,0.28,0.00,0.00
1992,127136.00,457480.00,0.16,0.07,0.09,10110.00,0.08,0.01,8070.00,0.02,0.28,0.00,0.00
1993,141826.00,494612.00,0.08,0.11,-0.03,11660.00,0.08,-0.03,4790.00,0.01,0.29,0.01,0.01
1994,163819.00,591044.00,0.19,0.09,0.11,14280.00,0.09,0.00,7530.00,0.01,0.28,-0.01,-0.01
1995,188691.00,684681.00,0.16,0.09,0.07,16270.00,0.09,-0.01,7620.00,0.01,0.28,0.00,-0.01
1996,217991.00,798013.00,0.17,0.07,0.09,18940.00,0.09,0.02,10710.00,0.01,0.27,0.00,-0.01
1997,253381.00,884445.00,0.11,0.06,0.05,22280.00,0.09,0.03,11730.00,0.01,0.29,0.01,0.01
1998,305774.00,990842.00,0.12,0.08,0.04,26720.00,0.09,0.01,32320.00,0.03,0.31,0.02,0.02
1999,390904.00,1146659.00,0.16,0.09,0.07,34060.00,0.09,0.00,34270.00,0.03,0.34,0.03,0.01
2000,437670.00,1202434.00,0.05,0.03,0.02,38480.00,0.09,0.06,25120.00,0.02,0.36,0.02,0.03
2001,509533.00,1294649.00,0.08,0.03,0.05,44890.00,0.09,0.06,21220.00,0.02,0.39,0.03,0.02
2002,580769.00,1403637.00,0.08,0.04,0.05,50380.00,0.09,0.05,24330.00,0.02,0.41,0.02,0.02
2003,670724.00,1580658.00,0.13,0.04,0.08,60040.00,0.09,0.05,35780.00,0.02,0.42,0.01,0.01
2004,752971.00,1982571.00,0.25,0.06,0.20,64490.00,0.09,0.03,17810.00,0.01,0.38,-0.04,-0.05
2005,857625.00,2192425.00,0.11,0.05,0.06,61950.00,0.07,0.02,10410.00,0.00,0.39,0.01,-0.01
2006,934472.00,2567916.00,0.17,0.06,0.11,70130.00,0.08,0.02,-6669.14,0.00,0.36,-0.03,-0.03
2007,997703.00,2962104.00,0.15,0.06,0.09,73910.00,0.07,0.01,-18120.00,-0.01,0.34,-0.03,-0.03
2008,1101493.00,3403021.00,0.15,0.08,0.07,76340.00,0.07,-0.01,33400.00,0.01,0.32,-0.01,-0.01
2009,1237950.00,3920267.00,0.15,0.07,0.08,83700.00,0.07,0.00,54770.00,0.01,0.32,-0.01,-0.01
2010,1382530.00,4706139.00,0.20,0.09,0.11,93310.00,0.07,-0.02,27240.00,0.01,0.29,-0.02,-0.03
2011,1497920.00,5815235.00,0.24,0.16,0.07,102790.00,0.07,-0.09,24830.50,0.00,0.26,-0.04,-0.04
2012,1657020.00,6683409.00,0.15,0.08,0.07,112770.00,0.07,-0.01,29620.00,0.00,0.25,-0.01,-0.01
2013,1851020.00,7608646.00,0.14,0.07,0.07,126770.00,0.07,0.00,57509.32,0.01,0.24,0.00,-0.01
2014,1938540.00,8484059.00,0.12,0.04,0.08,136987.00,0.07,0.03,100924.64,0.01,0.23,-0.01,0.00
2015,2330930.00,9392031.00,0.11,0.03,0.08,153542.00,0.07,0.04,224660.59,0.02,0.25,0.02,0.02
2016,2734850.00,10407858.00,0.11,0.04,0.07,180536.00,0.07,0.03,148652.57,0.01,0.26,0.01,0.00
