Tamil Nadu,Year,Madhya Pradesh
,,
0.16,1981,0.21
0.18,1982,0.22
0.18,1983,0.22
0.17,1984,0.24
0.16,1985,0.24
0.17,1986,0.26
0.17,1987,0.23
0.17,1988,0.23
0.17,1989,0.23
0.22,1990,0.26
0.23,1991,0.27
0.24,1992,0.31
0.20,1993,0.28
0.20,1994,0.29
0.19,1995,0.29
0.19,1996,0.29
0.19,1997,0.30
0.20,1998,0.32
0.22,1999,0.32
0.24,2000,0.28
0.26,2001,0.30
0.28,2002,0.34
0.30,2003,0.37
0.26,2004,0.39
0.25,2005,0.40
0.22,2006,0.36
0.21,2007,0.34
0.21,2008,0.31
0.21,2009,0.30
0.20,2010,0.29
0.17,2011,0.26
0.18,2012,0.23
0.19,2013,0.22
0.17,2014,0.23
0.19,2015,0.24
0.22,2016,0.24
0.23,2017,0.24
