Year,Liabilities,GSDP,Debt/GSDP,Delta b,Growth Rates,Real Growth,Interest Payment,Inflation,Primary Balance,Interest Rate,Primary Deficit,Fisher Dynamics,SFA
1981,2277.0000,8562.0000,0.2660,,,,98.0000,,311.0000,0.0430,0.0360,,
1982,2875.0000,9635.0000,0.2980,0.0320,0.1250,0.0160,125.0000,0.1100,310.0000,0.0430,0.0320,0.0200,0.0200
1983,3416.0000,10945.0000,0.3120,0.0140,0.1360,0.0890,150.0000,0.0470,178.0000,0.0440,0.0160,0.0100,0.0100
1984,3819.0000,13004.0000,0.2940,-0.0180,0.1880,0.0900,180.0000,0.0980,216.0000,0.0470,0.0170,-0.0200,0.0000
1985,4606.0000,14295.0000,0.3220,0.0290,0.0990,0.0310,222.0000,0.0680,104.0000,0.0480,0.0070,0.0000,0.0300
1986,5123.0000,16261.0000,0.3150,-0.0070,0.1370,0.0720,282.0000,0.0660,179.0000,0.0550,0.0110,-0.0200,0.0100
1987,5887.0000,17638.0000,0.3340,0.0190,0.0850,-0.0440,347.0000,0.1290,479.0000,0.0590,0.0270,0.0000,0.0200
1988,6802.0000,21181.0000,0.3210,-0.0130,0.2010,0.1270,378.0000,0.0740,157.0000,0.0560,0.0070,-0.0100,0.0000
1989,7795.0000,22610.0000,0.3450,0.0240,0.0670,-0.0120,578.0000,0.0790,416.0000,0.0740,0.0180,0.0100,0.0100
1990,10633.0000,26429.0000,0.4020,0.0580,0.1690,0.1010,750.0000,0.0680,840.0000,0.0710,0.0320,-0.0100,0.0700
1991,11777.0000,29519.0000,0.3990,-0.0030,0.1170,-0.0470,1000.0000,0.1640,610.0000,0.0850,0.0210,0.0200,-0.0200
1992,13551.0000,31914.0000,0.4250,0.0260,0.0810,-0.0480,1240.0000,0.1290,90.0000,0.0920,0.0030,0.0200,0.0000
1993,14752.0000,22812.0000,0.6470,0.2220,-0.2850,0.0220,1350.0000,-0.3080,-10.0000,0.0920,0.0000,0.2300,0.0000
1994,16701.0000,25945.0000,0.6440,-0.0030,0.1370,0.1120,1560.0000,0.0250,-220.0000,0.0930,-0.0080,-0.0300,0.0200
1995,18695.0000,24483.0000,0.7640,0.1200,-0.0560,-0.1530,1670.0000,0.0960,-100.0000,0.0890,-0.0040,0.0900,0.0300
1996,20752.0000,32541.0000,0.6380,-0.1260,0.3290,0.2550,1420.0000,0.0740,-530.0000,0.0680,-0.0160,-0.1500,0.0300
1997,23584.0000,33662.0000,0.7010,0.0630,0.0340,-0.0410,1540.0000,0.0760,-560.0000,0.0650,-0.0170,0.0000,0.0600
1998,27109.0000,39033.0000,0.6950,-0.0060,0.1600,0.0820,1870.0000,0.0780,510.0000,0.0690,0.0130,-0.0700,0.0700
1999,32866.0000,50174.0000,0.6550,-0.0390,0.2850,0.0460,2860.0000,0.2400,3250.0000,0.0870,0.0650,-0.0900,0.0500
2000,29942.0000,57242.0000,0.5230,-0.1320,0.1410,0.1580,2370.0000,-0.0170,2510.0000,0.0790,0.0440,0.0300,-0.1600
2001,34135.0000,57657.0000,0.5920,0.0690,0.0070,-0.0500,2750.0000,0.0570,1260.0000,0.0810,0.0220,0.0800,-0.0100
2002,38254.0000,64965.0000,0.5890,-0.0030,0.1270,0.1190,3220.0000,0.0080,1700.0000,0.0840,0.0260,0.0000,0.0000
2003,39999.0000,66174.0000,0.6040,0.0160,0.0190,-0.0550,3320.0000,0.0740,780.0000,0.0830,0.0120,0.0600,-0.0500
2004,43183.0000,77781.0000,0.5550,-0.0490,0.1750,0.1280,3470.0000,0.0480,-2230.0000,0.0800,-0.0290,-0.0400,-0.0100
2005,47290.0000,82490.0000,0.5730,0.0180,0.0610,-0.0180,3650.0000,0.0790,50.0000,0.0770,0.0010,-0.0200,0.0400
2006,49846.0000,100737.0000,0.4950,-0.0780,0.2210,0.1700,3420.0000,0.0510,-400.0000,0.0690,-0.0040,-0.0700,-0.0100
2007,52807.0000,113680.0000,0.4650,-0.0300,0.1280,0.0590,3710.0000,0.0690,-2000.0000,0.0700,-0.0180,-0.0300,0.0000
2008,55782.0000,142279.0000,0.3920,-0.0720,0.2520,0.1590,3750.0000,0.0930,-1250.0000,0.0670,-0.0090,-0.0900,0.0100
2009,59510.0000,162923.0000,0.3650,-0.0270,0.1450,0.0580,3690.0000,0.0870,1590.0000,0.0620,0.0100,-0.0400,0.0100
2010,63580.0000,203555.0000,0.3120,-0.0530,0.2490,0.1630,4320.0000,0.0860,-350.0000,0.0680,-0.0020,-0.0400,-0.0100
2011,67960.0000,247144.0000,0.2750,-0.0370,0.2140,0.1130,4300.0000,0.1010,1610.0000,0.0630,0.0070,-0.0400,0.0000
2012,77650.0000,282368.0000,0.2750,0.0000,0.1430,0.0430,4430.0000,0.0990,2120.0000,0.0570,0.0080,-0.0100,0.0100
2013,88620.0000,317101.0000,0.2790,0.0040,0.1230,0.0530,5460.0000,0.0700,2892.8900,0.0620,0.0090,-0.0100,0.0100
2014,99400.0000,342951.0000,0.2900,0.0100,0.0820,0.0380,6129.0000,0.0430,5049.7400,0.0620,0.0150,0.0000,0.0100
2015,116770.0000,369469.0000,0.3160,0.0260,0.0770,0.0590,7230.0000,0.0190,2160.0000,0.0620,0.0060,0.0100,0.0200
2016,139070.0000,425888.0000,0.3760,0.0600,0.1530,0.1030,8179.0000,0.0490,8290.0000,0.0590,0.0190,-0.0200,0.0800
2017,146510.0000,487629.0000,0.3440,-0.0320,0.1450,0.1160,9054.0000,0.0290,5250.0000,0.0620,0.0110,-0.0100,-0.0200
2018,,,,,,,10765.0000,,,,,,
