Year,Liabilities,GSDP,Debt/GSDP,Delta b,Growth Rate,Real Growth,Inflation,,Primary Balance,Primary Deficit,Interest Rate,Fisher Dynamics,SFA
1981,1837.0000,8564.0000,0.2150,,,,,102.0000,136.0000,0.0160,0.0560,,
1982,2172.0000,9822.0000,0.2210,0.0070,0.1470,0.0520,0.0950,113.0000,178.0000,0.0180,0.0520,0.0000,0.0060
1983,2521.0000,11471.0000,0.2200,-0.0010,0.1680,0.0610,0.1070,86.0000,280.0000,0.0240,0.0340,-0.0010,0.0000
1984,2820.0000,11871.0000,0.2380,0.0180,0.0350,-0.0350,0.0700,20.0000,475.0000,0.0400,0.0070,0.0340,-0.0160
1985,3317.0000,13905.0000,0.2390,0.0010,0.1710,0.0870,0.0850,133.0000,383.0000,0.0280,0.0400,0.0010,0.0000
1986,3749.0000,14513.0000,0.2580,0.0200,0.0440,-0.0350,0.0790,258.0000,303.0000,0.0210,0.0690,0.0270,-0.0070
1987,4298.0000,18397.0000,0.2340,-0.0250,0.2680,0.1440,0.1240,292.0000,434.0000,0.0240,0.0680,-0.0170,-0.0080
1988,5080.0000,21663.0000,0.2340,0.0010,0.1780,0.0860,0.0910,397.0000,474.0000,0.0220,0.0780,0.0020,-0.0010
1989,5734.0000,24492.0000,0.2340,0.0000,0.1310,0.0320,0.0980,433.0000,290.0000,0.0120,0.0760,0.0000,-0.0010
1990,7777.0000,30472.0000,0.2550,0.0210,0.2440,0.1480,0.0960,510.0000,510.0000,0.0170,0.0660,-0.0170,0.0380
1991,8803.0000,32609.0000,0.2700,0.0150,0.0700,-0.0620,0.1330,610.0000,380.0000,0.0120,0.0690,0.0110,0.0030
1992,11442.0000,36583.0000,0.3130,0.0430,0.1220,0.0750,0.0470,740.0000,130.0000,0.0040,0.0650,-0.0100,0.0530
1993,10792.0000,37971.0000,0.2840,-0.0290,0.0380,0.0970,-0.0590,870.0000,110.0000,0.0030,0.0810,0.0160,-0.0440
1994,12165.0000,42339.0000,0.2870,0.0030,0.1150,0.0310,0.0840,1090.0000,320.0000,0.0080,0.0900,0.0010,0.0020
1995,13891.0000,47841.0000,0.2900,0.0030,0.1300,0.0650,0.0650,1160.0000,480.0000,0.0100,0.0840,-0.0020,0.0050
1996,15948.0000,55049.0000,0.2900,-0.0010,0.1510,0.0710,0.0800,1380.0000,550.0000,0.0100,0.0870,-0.0060,0.0060
1997,17975.0000,60062.0000,0.2990,0.0100,0.0910,0.0520,0.0390,1660.0000,160.0000,0.0030,0.0920,0.0030,0.0070
1998,21957.0000,69216.0000,0.3170,0.0180,0.1520,0.0710,0.0810,1830.0000,2290.0000,0.0330,0.0830,0.0150,0.0030
1999,25933.0000,80132.0000,0.3240,0.0060,0.1580,0.1150,0.0430,2140.0000,1770.0000,0.0220,0.0830,0.0010,0.0050
2000,22127.0000,79203.0000,0.2790,-0.0440,-0.0120,-0.0740,0.0620,2410.0000,300.0000,0.0040,0.1090,0.0430,-0.0880
2001,26043.0000,86745.0000,0.3000,0.0210,0.0950,0.0730,0.0220,2250.0000,1400.0000,0.0160,0.0860,0.0140,0.0070
2002,29882.0000,86832.0000,0.3440,0.0440,0.0010,-0.0410,0.0420,2500.0000,1560.0000,0.0180,0.0840,0.0430,0.0010
2003,37967.0000,102839.0000,0.3690,0.0250,0.1840,0.1210,0.0630,3210.0000,4120.0000,0.0400,0.0850,0.0110,0.0140
2004,44586.0000,112927.0000,0.3950,0.0260,0.0980,0.0340,0.0650,3660.0000,2830.0000,0.0250,0.0820,0.0200,0.0060
2005,49647.0000,124276.0000,0.3990,0.0050,0.1000,0.0550,0.0450,3420.0000,1150.0000,0.0090,0.0690,-0.0020,0.0070
2006,52731.0000,144577.0000,0.3650,-0.0350,0.1630,0.0980,0.0650,4030.0000,-1280.0000,-0.0090,0.0760,-0.0390,0.0040
2007,54909.0000,161479.0000,0.3400,-0.0250,0.1170,0.0500,0.0670,4190.0000,-1410.0000,-0.0090,0.0760,-0.0220,-0.0030
2008,60312.0000,197276.0000,0.3060,-0.0340,0.2220,0.1350,0.0860,4190.0000,240.0000,0.0010,0.0690,-0.0410,0.0070
2009,67920.0000,227557.0000,0.2980,-0.0070,0.1530,0.1010,0.0530,4450.0000,1740.0000,0.0080,0.0660,-0.0160,0.0080
2010,75540.0000,263396.0000,0.2870,-0.0120,0.1570,0.0690,0.0890,5050.0000,220.0000,0.0010,0.0670,-0.0230,0.0110
2011,80980.0000,315562.0000,0.2570,-0.0300,0.1980,0.0960,0.1020,5300.0000,460.0000,0.0010,0.0650,-0.0300,0.0000
2012,89470.0000,380925.0000,0.2350,-0.0220,0.2070,0.1240,0.0830,5570.0000,3850.0000,0.0100,0.0620,-0.0210,-0.0010
2013,96360.0000,439483.0000,0.2190,-0.0160,0.1540,0.0430,0.1110,6390.0000,3490.0390,0.0080,0.0660,-0.0100,-0.0060
2014,108750.0000,479939.0000,0.2270,0.0070,0.0920,0.0540,0.0390,7071.0000,4280.2820,0.0090,0.0650,0.0030,0.0040
2015,127710.0000,542750.0000,0.2350,0.0090,0.1310,0.0970,0.0340,8090.0000,5970.0000,0.0110,0.0630,-0.0030,0.0110
2016,156070.0000,647304.0000,0.2410,0.0060,0.1930,0.1260,0.0660,9080.0000,18580.0000,0.0290,0.0580,,
2017,173137.0000,727466.0000,0.2380,-0.0030,0.1240,0.0670,0.0570,12242.0000,10503.0000,0.0140,0.0710,,
2018,,,,,,,0.0380,,,,,,
